annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;numero_jokerplus;devise;
2011004;SAMEDI  ;20110108;20110310;47;34;12;30;31;10;12-30-31-34-47+10;0;0;0;0;470;2321,6;24527;13,1;394821;5,8;438649;2;6 638 385;eur;
2011003;MERCREDI;20110105;20110307;27;47;4;5;32;5;4-5-27-32-47+5;0;0;1;254772,9;393;1395,2;20544;11,5;328823;5,1;604710;2;2 211 696;eur;
2011002;LUNDI   ;20110103;20110305;34;37;10;18;30;2;10-18-30-34-37+2;0;0;0;0;218;2387,2;11632;13,2;188457;5,8;250888;2;1 131 456;eur;
2011001;SAMEDI  ;20110101;20110303;43;49;46;34;11;3;11-34-43-46-49+3;0;0;2;168693,3;361;1522,7;17996;13,2;274508;6,1;503198;2;8 304 666;eur;
2010156;MERCREDI;20101229;20110228;47;15;46;29;11;3;11-15-29-46-47+3;1;3000000;1;318783,1;423;1227,8;19555;11,5;302059;5,3;483271;2;6 168 383;eur;
2010155;LUNDI   ;20101227;20110226;30;44;42;39;13;9;13-30-39-42-44+9;0;0;0;0;230;2356,3;10734;13,5;170724;6;256911;2;2 099 817;eur;
2010154;SAMEDI  ;20101225;20110224;16;30;29;7;10;5;7-10-16-29-30+5;1;2000000;3;109750,8;826;649,4;32110;7,2;396441;4,1;606927;2;8 007 306;eur;
2010153;MERCREDI;20101222;20110221;8;18;36;1;29;9;1-8-18-29-36+9;1;6000000;3;110418,6;568;950,2;23903;9,7;333753;5;413847;2;1 488 440;eur;
2010152;LUNDI   ;20101220;20110219;32;23;9;6;13;4;6-9-13-23-32+4;0;0;2;106607,7;469;740,7;19532;7,7;249035;4,3;329637;2;3 521 170;eur;
2010151;SAMEDI  ;20101218;20110217;35;41;40;11;22;7;11-22-35-40-41+7;0;0;1;403664;497;1323,3;23618;12;349884;5,8;968338;2;6 097 756;eur;
2010150;MERCREDI;20101215;20110214;37;6;16;28;4;8;4-6-16-28-37+8;0;0;2;155745,2;476;1066,1;22205;9,8;312336;5;419709;2;5 331 699;eur;
2010149;LUNDI   ;20101213;20110212;6;14;49;40;9;3;6-9-14-40-49+3;0;0;2;104390,3;374;909,5;16455;8,9;224461;4,6;315267;2;7 087 601;eur;
2010148;SAMEDI  ;20101211;20110210;38;3;9;11;28;1;3-9-11-28-38+1;1;3000000;6;69033,5;1073;628,9;40511;7,2;498512;4,1;413258;2;7 703 291;eur;
2010147;MERCREDI;20101208;20110207;19;15;44;4;24;1;4-15-19-24-44+1;0;0;6;51380,8;691;726,9;26845;8,1;330761;4,6;318795;2;4 622 879;eur;
2010146;LUNDI   ;20101206;20110205;13;30;33;25;36;9;13-25-30-33-36+9;1;5000000;1;218042,3;259;1371,6;13851;11,1;202683;5,4;281111;2;8 388 559;eur;
2010145;SAMEDI  ;20101204;20110203;33;12;24;7;15;6;7-12-15-24-33+6;0;0;9;44167,5;1006;643,7;40471;6,9;486764;4,1;579949;2;8 648 928;eur;
2010144;MERCREDI;20101201;20110131;34;14;32;31;46;3;14-31-32-34-46+3;0;0;1;309276,9;285;1768;14129;15,4;226384;6,8;473205;2;6 785 393;eur;
2010143;LUNDI   ;20101129;20110129;15;23;16;41;30;8;15-16-23-30-41+8;0;0;3;67860;213;1557,2;12809;11,2;179694;5,7;287246;2;3 715 053;eur;
2010142;SAMEDI  ;20101127;20110127;9;43;15;44;10;5;9-10-15-43-44+5;1;2000000;3;134759,5;521;1264,2;24770;11,5;406471;5;706940;2;5 197 930;eur;
2010141;MERCREDI;20101124;20110124;32;20;22;47;14;5;14-20-22-32-47+5;1;8000000;0;0;435;2034,9;19032;12,4;296351;5,7;593853;2;1 270 810;eur;
2010140;LUNDI   ;20101122;20110122;4;21;17;23;26;2;4-17-21-23-26+2;0;0;1;225476,8;473;776,6;20225;7,8;249857;4,5;242842;2;2 734 584;eur;
2010139;SAMEDI  ;20101120;20110120;27;12;11;29;1;2;1-11-12-27-29+2;0;0;8;53637,9;1279;546,6;44121;6,8;538766;4;463802;2;8 829 697;eur;
2010138;MERCREDI;20101117;20110117;30;38;4;9;46;10;4-9-30-38-46+10;0;0;0;0;428;2019;20083;11,5;309281;5,3;289614;2;8 300 546;eur;
2010137;LUNDI   ;20101115;20110115;33;47;14;20;17;1;14-17-20-33-47+1;0;0;0;0;276;2070,1;13887;11;198319;5,5;227787;2;5 820 106;eur;
2010136;SAMEDI  ;20101113;20110113;5;17;25;38;29;2;5-17-25-29-38+2;0;0;9;47017,1;874;788,8;31688;9,4;432710;4,9;467247;2;0 097 182;eur;
2010135;MERCREDI;20101110;20110110;47;48;20;39;16;4;16-20-39-47-48+4;0;0;0;0;305;2830,4;15951;14,5;255720;6,4;494626;2;0 577 638;eur;
2010134;LUNDI   ;20101108;20110108;35;6;9;14;47;9;6-9-14-35-47+9;1;8000000;1;235205,5;343;1117,2;15622;10,6;230167;5,1;295023;2;7 954 694;eur;
2010133;SAMEDI  ;20101106;20110106;24;19;35;7;42;3;7-19-24-35-42+3;0;0;6;80887,2;792;998,4;36272;9,4;509258;4,8;730490;2;4 676 783;eur;
2010132;MERCREDI;20101103;20110103;46;33;15;6;49;1;6-15-33-46-49+1;0;0;0;0;409;2069,1;19210;11,8;285618;5,6;332778;2;3 933 212;eur;
2010131;LUNDI   ;20101101;20110101;17;24;28;1;15;10;1-15-17-24-28+10;0;0;0;0;426;1111,6;15656;8,1;200707;4,5;157579;2;1 101 723;eur;
2010130;SAMEDI  ;20101030;20101230;38;35;4;22;14;5;4-14-22-35-38+5;1;8000000;2;221345,8;577;1250;26373;11,8;401615;5,5;755513;2;2 949 789;eur;
2010129;MERCREDI;20101027;20101227;32;13;15;46;3;5;3-13-15-32-46+5;0;0;2;167759,1;413;1323,6;20439;11,5;316743;5,3;582185;2;6 384 424;eur;
2010128;LUNDI   ;20101025;20101225;4;36;40;10;41;10;4-10-36-40-41+10;0;0;0;0;250;2303,7;11794;13,1;186993;5,9;228459;2;3 674 701;eur;
2010127;SAMEDI  ;20101023;20101223;47;49;9;16;14;7;9-14-16-47-49+7;0;0;1;418776,8;668;1021,4;28685;10,3;422491;4,9;964212;2;2 766 878;eur;
